Fecha,Hora,Producto,ISIN,Bolsa de,Centro de ejecución,Número,Precio,,Valor local,,Valor,,Tipo de cambio,Costes de transacción,,Total,,ID Orden
29-10-2021,16:17,AUTOHOME INC. AMERICAN,US05278C1071,NSY,CDED,6,39.2600,USD,-235.56,USD,-203.03,EUR,1.1590,-0.52,EUR,-203.55,EUR,edbc1222-2695-4349-8867-0e6d98549637
26-10-2021,15:46,META PLATFORMS INC,US30303M1027,NDQ,SOHO,1,326.4000,USD,-326.40,USD,-281.21,EUR,1.1595,-0.50,EUR,-281.71,EUR,9b4a614b-4c89-4968-8944-3aa324f2ee0c
07-10-2021,18:50,AUTOHOME INC. AMERICAN,US05278C1071,NSY,CDED,-13,48.8450,USD,634.99,USD,548.43,EUR,1.1567,-0.55,EUR,547.88,EUR,3e2908c0-4230-4abd-a230-354111a0d96e
04-10-2021,16:12,ALIBABA GROUP HOLDING,US01609W1027,NSY,XNAS,1,140.1700,USD,-140.17,USD,-120.46,EUR,1.1624,-0.50,EUR,-120.96,EUR,ed4e4e60-792e-4200-a059-ce0c4c4dee8c
04-10-2021,16:12,META PLATFORMS INC,US30303M1027,NDQ,CDED,1,330.9100,USD,-330.91,USD,-284.38,EUR,1.1624,-0.50,EUR,-284.88,EUR,056e8946-c388-44e7-8cbd-d9e4fb201f77
21-09-2021,15:39,AUTOHOME INC. AMERICAN,US05278C1071,NSY,CDED,13,41.8700,USD,-544.31,USD,-463.83,EUR,1.1723,-0.54,EUR,-464.37,EUR,1ed38cc7-1259-4734-9448-615053a03d6c
21-09-2021,15:39,JD.COM INC. - AMERICA,US47215P1066,NDQ,CDED,-7,75.3600,USD,527.52,USD,448.67,EUR,1.1746,-0.52,EUR,448.15,EUR,793ca3da-185b-4540-9800-cc18e51721a3
19-08-2021,20:43,JD.COM INC. - AMERICA,US47215P1066,NDQ,CDED,2,62.0100,USD,-124.02,USD,-106.20,EUR,1.1666,-0.51,EUR,-106.71,EUR,0c8e581d-60d8-41e1-a5c2-a871f33f4f06
19-08-2021,20:43,BROOKFIELD ASSET MANAG,CA1125851040,NSY,CDED,-2,54.5300,USD,109.06,USD,93.20,EUR,1.1690,-0.51,EUR,92.69,EUR,e8afb613-345d-4632-988f-c1a9a3ecb727
18-08-2021,18:14,JD.COM INC. - AMERICA,US47215P1066,NDQ,CDED,1,65.4000,USD,-65.40,USD,-55.91,EUR,1.1686,-0.50,EUR,-56.41,EUR,62ef67e0-e7d0-406c-82f1-cd45549b2af3
